# Geofeed generated 2026-07-01
24.75.160.2/32,US,US-GA,Blue Ridge,
24.75.160.3/32,US,US-GA,Mineral Bluff,
24.75.160.4/32,US,US-GA,Mccaysville,
24.75.160.5/32,US,US-GA,Blue Ridge,
24.75.160.7/32,US,US-GA,Mineral Bluff,
24.75.160.8/32,US,US-GA,Blue Ridge,
24.75.160.9/32,US,US-GA,Epworth,
24.75.160.10/32,US,US-GA,Epworth,
24.75.160.11/32,US,US-GA,Blue Ridge,
24.75.160.12/32,US,US-GA,Blue Ridge,
24.75.160.13/32,US,US-GA,Blue Ridge,
24.75.160.14/32,US,US-GA,Blue Ridge,
24.75.160.15/32,US,US-GA,Blue Ridge,
24.75.160.16/32,US,US-GA,Blue Ridge,
24.75.160.17/32,US,US-GA,Morganton,
24.75.160.18/32,US,US-GA,Blue Ridge,
24.75.160.19/32,US,US-GA,Blue Ridge,
24.75.160.20/32,US,US-GA,Blue Ridge,
24.75.160.21/32,US,US-GA,Blue Ridge,
24.75.160.22/32,US,US-GA,Blue Ridge,
24.75.160.23/32,US,US-GA,Blue Ridge,
24.75.160.24/32,US,US-GA,Morganton,
24.75.160.25/32,US,US-GA,Blue Ridge,
24.75.160.26/32,US,US-GA,Mineral Bluff,
24.75.160.27/32,US,US-GA,Mineral Bluff,
24.75.160.28/32,US,US-GA,Blue Ridge,
24.75.160.29/32,US,US-GA,Blue Ridge,
24.75.160.30/32,US,US-GA,Blue Ridge,
24.75.160.31/32,US,US-GA,Morganton,
24.75.160.32/32,US,US-GA,Blue Ridge,
24.75.160.33/32,US,US-GA,Blue Ridge,
24.75.160.34/32,US,US-GA,Epworth,
24.75.160.35/32,US,US-GA,Blue Ridge,
24.75.160.36/32,US,US-GA,Mineral Bluff,
24.75.160.37/32,US,US-GA,Blue Ridge,
24.75.160.38/32,US,US-GA,Blue Ridge,
24.75.160.39/32,US,US-GA,Mccaysville,
24.75.160.40/32,US,US-GA,Blue Ridge,
24.75.160.41/32,US,US-GA,Blue Ridge,
24.75.160.42/32,US,US-GA,Morganton,
24.75.160.43/32,US,US-GA,Blue Ridge,
24.75.160.44/32,US,US-GA,Morganton,
24.75.160.45/32,US,US-GA,Blue Ridge,
24.75.160.46/32,US,US-GA,Blue Ridge,
24.75.160.47/32,US,US-GA,Blue Ridge,
24.75.160.48/32,US,US-GA,Morganton,
24.75.160.49/32,US,US-GA,Mccaysville,
24.75.160.50/32,US,US-GA,Blue Ridge,
24.75.160.51/32,US,US-GA,Blue Ridge,
24.75.160.52/32,US,US-GA,Epworth,
24.75.160.53/32,US,US-GA,Blue Ridge,
24.75.160.54/32,US,US-GA,Blue Ridge,
24.75.160.55/32,US,US-GA,Mineral Bluff,
24.75.160.56/32,US,US-GA,Blue Ridge,
24.75.160.57/32,US,US-GA,Blue Ridge,
24.75.160.58/32,US,US-GA,Blue Ridge,
24.75.160.59/32,US,US-GA,Blue Ridge,
24.75.160.60/32,US,US-GA,Blue Ridge,
24.75.160.61/32,US,US-GA,Epworth,
24.75.160.62/32,US,US-GA,Epworth,
24.75.160.63/32,US,US-GA,Epworth,
24.75.160.64/32,US,US-GA,Blue Ridge,
24.75.160.65/32,US,US-GA,Mineral Bluff,
24.75.160.66/32,US,US-GA,Blue Ridge,
24.75.160.67/32,US,US-GA,Morganton,
24.75.160.68/32,US,US-GA,Epworth,
24.75.160.69/32,US,US-GA,Blue Ridge,
24.75.160.70/32,US,US-GA,Mccaysville,
24.75.160.71/32,US,US-GA,Mineral Bluff,
24.75.160.72/32,US,US-GA,Blue Ridge,
24.75.160.73/32,US,US-GA,Epworth,
24.75.160.74/32,US,US-GA,Epworth,
24.75.160.75/32,US,US-GA,Blue Ridge,
24.75.160.76/32,US,US-GA,Mineral Bluff,
24.75.160.77/32,US,US-GA,Blue Ridge,
24.75.160.78/32,US,US-GA,Mineral Bluff,
24.75.160.79/32,US,US-GA,Blue Ridge,
24.75.160.80/32,US,US-GA,Epworth,
24.75.160.81/32,US,US-GA,Epworth,
24.75.160.82/32,US,US-GA,Epworth,
24.75.160.83/32,US,US-GA,Blue Ridge,
24.75.160.84/32,US,US-GA,Mineral Bluff,
24.75.160.85/32,US,US-GA,Blue Ridge,
24.75.160.86/32,US,US-GA,Blue Ridge,
24.75.160.87/32,US,US-GA,Blue Ridge,
24.75.160.88/32,US,US-GA,Mccaysville,
24.75.160.89/32,US,US-GA,Blue Ridge,
24.75.160.90/32,US,US-GA,Blue Ridge,
24.75.160.91/32,US,US-GA,Blue Ridge,
24.75.160.92/32,US,US-GA,Blue Ridge,
24.75.160.93/32,US,US-GA,Blue Ridge,
24.75.160.94/32,US,US-GA,Blue Ridge,
24.75.160.95/32,US,US-GA,Morganton,
24.75.160.96/32,US,US-GA,Blue Ridge,
24.75.160.97/32,US,US-GA,Mineral Bluff,
24.75.160.98/32,US,US-GA,Morganton,
24.75.160.99/32,US,US-GA,Mineral Bluff,
24.75.160.100/32,US,US-GA,Blue Ridge,
24.75.160.101/32,US,US-GA,Blue Ridge,
24.75.160.102/32,US,US-GA,Epworth,
24.75.160.103/32,US,US-GA,Blue Ridge,
24.75.160.104/32,US,US-GA,Blue Ridge,
24.75.160.105/32,US,US-GA,Mineral Bluff,
24.75.160.106/32,US,US-GA,Blue Ridge,
